study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB12449	SAMEA3879502	ERS1066636	ERX1364638	ERR1293066	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1293066/ERR1293066.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1293066/ERR1293066.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS66868025ST-27-0-0_14s001728-3-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS66868025ST-27-0-0_14s001728-3-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/006/ERR1293066	ftp.sra.ebi.ac.uk/vol1/err/ERR129/006/ERR1293066		
PRJEB12449	SAMEA3879502	ERS1066636	ERX1364639	ERR1293067	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1293067/ERR1293067.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1293067/ERR1293067.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS66868025ST-27-0-0_14s001728-2-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS66868025ST-27-0-0_14s001728-2-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/007/ERR1293067	ftp.sra.ebi.ac.uk/vol1/err/ERR129/007/ERR1293067		
PRJEB12449	SAMEA3879503	ERS1066637	ERX1364640	ERR1293068	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1293068/ERR1293068.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1293068/ERR1293068.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS36405092ST-27-0-0_14s001712-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS36405092ST-27-0-0_14s001712-2-1_lane1.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/008/ERR1293068	ftp.sra.ebi.ac.uk/vol1/err/ERR129/008/ERR1293068		
PRJEB12449	SAMEA3879503	ERS1066637	ERX1364641	ERR1293069	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1293069/ERR1293069.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1293069/ERR1293069.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS36405092ST-27-0-0_14s001712-3-1_lane2.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS36405092ST-27-0-0_14s001712-3-1_lane2.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/009/ERR1293069	ftp.sra.ebi.ac.uk/vol1/err/ERR129/009/ERR1293069		
PRJEB12449	SAMEA3879503	ERS1066637	ERX1364642	ERR1293070	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1293070/ERR1293070.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1293070/ERR1293070.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS36405092ST-27-0-0_14s001712-4-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS36405092ST-27-0-0_14s001712-4-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/000/ERR1293070	ftp.sra.ebi.ac.uk/vol1/err/ERR129/000/ERR1293070		
PRJEB12449	SAMEA3879503	ERS1066637	ERX1364643	ERR1293071	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1293071/ERR1293071.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1293071/ERR1293071.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS36405092ST-27-0-0_14s001712-1-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS36405092ST-27-0-0_14s001712-1-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/001/ERR1293071	ftp.sra.ebi.ac.uk/vol1/err/ERR129/001/ERR1293071		
PRJEB12449	SAMEA3879504	ERS1066638	ERX1364644	ERR1293072	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1293072/ERR1293072.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1293072/ERR1293072.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS81135225ST-27-0-0_14s001804-2-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS81135225ST-27-0-0_14s001804-2-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/002/ERR1293072	ftp.sra.ebi.ac.uk/vol1/err/ERR129/002/ERR1293072		
PRJEB12449	SAMEA3879504	ERS1066638	ERX1364645	ERR1293073	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1293073/ERR1293073.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1293073/ERR1293073.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS81135225ST-27-0-0_14s001804-4-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS81135225ST-27-0-0_14s001804-4-1_lane8.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/003/ERR1293073	ftp.sra.ebi.ac.uk/vol1/err/ERR129/003/ERR1293073		
PRJEB12449	SAMEA3879504	ERS1066638	ERX1364646	ERR1293074	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1293074/ERR1293074.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1293074/ERR1293074.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS81135225ST-27-0-0_14s001804-1-1_lane1.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS81135225ST-27-0-0_14s001804-1-1_lane1.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/004/ERR1293074	ftp.sra.ebi.ac.uk/vol1/err/ERR129/004/ERR1293074		
PRJEB12449	SAMEA3879504	ERS1066638	ERX1364647	ERR1293075	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1293075/ERR1293075.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1293075/ERR1293075.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS81135225ST-27-0-0_14s001804-3-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS81135225ST-27-0-0_14s001804-3-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/005/ERR1293075	ftp.sra.ebi.ac.uk/vol1/err/ERR129/005/ERR1293075		
PRJEB12449	SAMEA3879505	ERS1066639	ERX1364648	ERR1293076	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1293076/ERR1293076.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1293076/ERR1293076.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS77321055ST-27-0-0_14s001454-4-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS77321055ST-27-0-0_14s001454-4-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/006/ERR1293076	ftp.sra.ebi.ac.uk/vol1/err/ERR129/006/ERR1293076		
PRJEB12449	SAMEA3879505	ERS1066639	ERX1364649	ERR1293077	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1293077/ERR1293077.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1293077/ERR1293077.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS77321055ST-27-0-0_14s001454-3-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS77321055ST-27-0-0_14s001454-3-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/007/ERR1293077	ftp.sra.ebi.ac.uk/vol1/err/ERR129/007/ERR1293077		
PRJEB12449	SAMEA3879505	ERS1066639	ERX1364650	ERR1293078	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1293078/ERR1293078.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/008/ERR1293078/ERR1293078.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS77321055ST-27-0-0_14s001454-2-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS77321055ST-27-0-0_14s001454-2-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/008/ERR1293078	ftp.sra.ebi.ac.uk/vol1/err/ERR129/008/ERR1293078		
PRJEB12449	SAMEA3879505	ERS1066639	ERX1364651	ERR1293079	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1293079/ERR1293079.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/009/ERR1293079/ERR1293079.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS77321055ST-27-0-0_14s001454-1-1_lane2.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS77321055ST-27-0-0_14s001454-1-1_lane2.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/009/ERR1293079	ftp.sra.ebi.ac.uk/vol1/err/ERR129/009/ERR1293079		
PRJEB12449	SAMEA3879506	ERS1066640	ERX1364652	ERR1293080	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1293080/ERR1293080.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/000/ERR1293080/ERR1293080.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS86178473ST-27-0-0_14s001828-2-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS86178473ST-27-0-0_14s001828-2-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/000/ERR1293080	ftp.sra.ebi.ac.uk/vol1/err/ERR129/000/ERR1293080		
PRJEB12449	SAMEA3879506	ERS1066640	ERX1364653	ERR1293081	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1293081/ERR1293081.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/001/ERR1293081/ERR1293081.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS86178473ST-27-0-0_14s001828-1-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS86178473ST-27-0-0_14s001828-1-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/001/ERR1293081	ftp.sra.ebi.ac.uk/vol1/err/ERR129/001/ERR1293081		
PRJEB12449	SAMEA3879506	ERS1066640	ERX1364654	ERR1293082	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1293082/ERR1293082.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/002/ERR1293082/ERR1293082.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS86178473ST-27-0-0_14s001828-4-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS86178473ST-27-0-0_14s001828-4-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/002/ERR1293082	ftp.sra.ebi.ac.uk/vol1/err/ERR129/002/ERR1293082		
PRJEB12449	SAMEA3879506	ERS1066640	ERX1364655	ERR1293083	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1293083/ERR1293083.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/003/ERR1293083/ERR1293083.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS86178473ST-27-0-0_14s001828-3-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS86178473ST-27-0-0_14s001828-3-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/003/ERR1293083	ftp.sra.ebi.ac.uk/vol1/err/ERR129/003/ERR1293083		
PRJEB12449	SAMEA3879507	ERS1066641	ERX1364656	ERR1293084	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1293084/ERR1293084.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/004/ERR1293084/ERR1293084.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS64281551ST-27-0-0_14s001823-3-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS64281551ST-27-0-0_14s001823-3-1_lane6.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/004/ERR1293084	ftp.sra.ebi.ac.uk/vol1/err/ERR129/004/ERR1293084		
PRJEB12449	SAMEA3879507	ERS1066641	ERX1364657	ERR1293085	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1293085/ERR1293085.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/005/ERR1293085/ERR1293085.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS64281551ST-27-0-0_14s001823-4-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS64281551ST-27-0-0_14s001823-4-1_lane7.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/005/ERR1293085	ftp.sra.ebi.ac.uk/vol1/err/ERR129/005/ERR1293085		
PRJEB12449	SAMEA3879507	ERS1066641	ERX1364658	ERR1293086	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1293086/ERR1293086.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/006/ERR1293086/ERR1293086.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS64281551ST-27-0-0_14s001823-1-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS64281551ST-27-0-0_14s001823-1-1_lane3.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/006/ERR1293086	ftp.sra.ebi.ac.uk/vol1/err/ERR129/006/ERR1293086		
PRJEB12449	SAMEA3879507	ERS1066641	ERX1364659	ERR1293087	408170	human gut metagenome	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1293087/ERR1293087.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR129/007/ERR1293087/ERR1293087.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS64281551ST-27-0-0_14s001823-2-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA565/ERA565934/fastq/MMRS64281551ST-27-0-0_14s001823-2-1_lane5.screened.adapter.screened.hg19.single.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR129/007/ERR1293087	ftp.sra.ebi.ac.uk/vol1/err/ERR129/007/ERR1293087		
